[16:0],[16:1],[16:2],[16:3],[16:4],[16:5],[16:6],[2:99],[2:102],[2:105],[2:108],[2:111],[2:114],[2:117],[11:1],[11:3],[11:5],[11:7],[11:9],[11:11],[0:81]
F1_GAP,F2_GAP,F3_GAP,F4_GAP,F5_GAP,F6_GAP,F7_GAP,F1_SUM_FORCE,F2_SUM_FORCE,F3_SUM_FORCE,F4_SUM_FORCE,F5_SUM_FORCE,F6_SUM_FORCE,F7_SUM_FORCE,F2_BD_FBK,F3_BD_FBK,F4_BD_FBK,F5_BD_FBK,F6_BD_FBK,F7_BD_FBK,H_REAL
26699.5,15050,9582.5,6407.5,4337.5,3562.5,2990,14053.7,16073,15306.2,13757.1,13275.9,11537.8,8830.81,2019.8,3982.73,3982.31,5889.25,5409.04,2418.63,2.70813
26698.8,15046.8,9583.55,6408.2,4338.2,3564.25,2987.9,14053.7,16073,15306.2,13757.1,13275.9,11537.8,8830.81,2020.04,3984.62,3984.77,5888.07,5416.4,2410.29,2.70813
26698.5,15045.5,9584,6408.5,4338.5,3565,2987,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2016.85,3983.63,3984.03,5888.11,5417.87,2421.09,2.70853
26698.5,15045.5,9584,6408.5,4338.5,3565,2987,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2017.34,3979.63,3980.84,5886.64,5416.89,2421.58,2.70853
26698.5,15045.5,9584,6408.5,4338.5,3565,2987,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2017.83,3974.85,3980.35,5882.69,5410.75,2417.16,2.70853
26698.5,15045.5,9584,6408.5,4338.5,3565,2987,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2012.19,3971.88,3980.1,5880.67,5412.72,2403.91,2.70853
26698.2,15048.3,9588.2,6411.3,4339.2,3564.65,2985.6,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2011.21,3969.23,3979.12,5878,5414.19,2410.78,2.70853
26698,15049.5,9590,6412.5,4339.5,3564.5,2985,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2001.88,3964.28,3977.89,5870.1,5416.4,2430.9,2.7068
26698,15049.5,9590,6412.5,4339.5,3564.5,2985,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2005.32,3964.21,3974.95,5866.02,5413.7,2443.67,2.7068
26698,15049.5,9590,6412.5,4339.5,3564.5,2985,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2000.9,3962.49,3972.98,5860.35,5407.81,2427.96,2.7068
26698,15049.5,9590,6412.5,4339.5,3564.5,2985,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2003.35,3954.59,3976.42,5849.23,5398.24,2431.89,2.7068
26698,15049.2,9597,6405.85,4336.35,3564.5,2981.5,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2002.86,3954.68,3977.65,5849.31,5397.01,2450.05,2.7068
