 [16:0] ,[16:1],[16:2],[16:3],[16:4],[16:5],[16:6],[2:99],[2:102],[2:105],[2:108],[2:111],[2:114],[2:117],[11:1],[11:3],[11:5],[11:7],[11:9],[11:11],[0:81]
F1_GAP,F2_GAP,F3_GAP,F4_GAP,F5_GAP,F6_GAP,F7_GAP,F1_SUM_FORCE,F2_SUM_FORCE,F3_SUM_FORCE,F4_SUM_FORCE,F5_SUM_FORCE,F6_SUM_FORCE,F7_SUM_FORCE,F2_BD_FBK,F3_BD_FBK,F4_BD_FBK,F5_BD_FBK,F6_BD_FBK,F7_BD_FBK,Thickness(mm)
26698,15045.5,9572,6411,4348.5,3563.5,3035.5,14088.9,16042.2,15405,13761.5,13155,11551,8666.02,2120.92,4113.43,4038.52,5879.94,5456.16,2466.74,2.72281
26698,15045.5,9572,6411,4348.5,3563.5,3035.5,14088.9,16042.2,15405,13761.5,13155,11551,8666.02,2116.25,4114.34,4038.03,5888.91,5464.5,2455.45,2.72281
26698,15045.5,9572,6411,4348.5,3563.5,3035.5,14088.9,16042.2,15405,13761.5,13155,11551,8666.02,2106.19,4116.58,4037.78,5889.42,5479.23,2456.43,2.72281
26698,15045.5,9572,6411,4348.5,3563.5,3035.5,14088.9,16042.2,15405,13761.5,13155,11551,8666.02,2091.96,4120.13,4036.31,5886.56,5484.88,2462.81,2.72281
26698,15052.7,9577.2,6411.8,4349.3,3563.9,3033.9,14088.9,16042.2,15405,13761.5,13155,11551,8666.02,2083.86,4119.02,4032.14,5883.55,5484.14,2454.47,2.72281
26698,15054.5,9578.5,6412,4349.5,3564,3033.5,14071.3,15985.1,15380.9,13730.7,13168.2,11559.8,8624.27,2088.27,4115.47,4033.12,5884.64,5484.14,2446.12,2.72386
26698,15054.5,9578.5,6412,4349.5,3564,3033.5,14071.3,15985.1,15380.9,13730.7,13168.2,11559.8,8624.27,2084.35,4113.32,4031.64,5881.24,5485.61,2439.74,2.72386
26698,15054.5,9578.5,6412,4349.5,3564,3033.5,14071.3,15985.1,15380.9,13730.7,13168.2,11559.8,8624.27,2080.91,4116.46,4028.45,5877.11,5486.59,2433.36,2.72386
26698,15054.5,9578.5,6412,4349.5,3564,3033.5,14071.3,15985.1,15380.9,13730.7,13168.2,11559.8,8624.27,2067.66,4116.01,4026.24,5867.91,5468.68,2429.92,2.72386
26697.6,15056.5,9578.1,6412.8,4346.7,3564.4,3032.7,14071.3,15985.1,15380.9,13730.7,13168.2,11559.8,8624.27,2062.75,4114.83,4025.51,5860.6,5459.6,2432.38,2.72386
26697.5,15057,9578,6413,4346,3564.5,3032.5,14055.9,15954.3,15376.5,13752.7,13238.5,11625.7,8628.66,2056.86,4115.19,4025.51,5858.74,5461.56,2429.92,2.72366
26697.5,15057,9578,6413,4346,3564.5,3032.5,14055.9,15954.3,15376.5,13752.7,13238.5,11625.7,8628.66,2050.97,4113.58,4023.54,5862.96,5462.05,2424.03,2.72366
26697.5,15057,9578,6413,4346,3564.5,3032.5,14055.9,15954.3,15376.5,13752.7,13238.5,11625.7,8628.66,2047.53,4115.26,4022.81,5860.73,5453.21,2416.18,2.72366
26697.5,15057,9578,6413,4346,3564.5,3032.5,14055.9,15954.3,15376.5,13752.7,13238.5,11625.7,8628.66,2049.01,4116.54,4024.28,5858.69,5444.38,2435.32,2.72366
26697.5,15060.2,9575.6,6410.6,4342,3562.5,3029.7,14055.9,15954.3,15376.5,13752.7,13238.5,11625.7,8628.66,2047.53,4117.15,4024.77,5853.57,5443.89,2455.94,2.72366
26697.5,15061,9575,6410,4341,3562,3029,14047.1,15919.2,15369.9,13741.7,13227.5,11599.4,8644.04,2046.06,4115.86,4024.53,5857.4,5443.4,2436.8,2.7224
26697.5,15061,9575,6410,4341,3562,3029,14047.1,15919.2,15369.9,13741.7,13227.5,11599.4,8644.04,2046.06,4115.91,4019.13,5858.08,5441.92,2418.14,2.7224
26697.5,15061,9575,6410,4341,3562,3029,14047.1,15919.2,15369.9,13741.7,13227.5,11599.4,8644.04,2046.55,4117.94,4022.81,5863.94,5438.98,2439.74,2.7224
26697.5,15061,9575,6410,4341,3562,3029,14047.1,15919.2,15369.9,13741.7,13227.5,11599.4,8644.04,2048.51,4118.95,4014.46,5869.3,5444.87,2459.87,2.7224
26696.7,15063,9578.6,6409.2,4341.4,3564.8,3022.6,14047.1,15919.2,15369.9,13741.7,13227.5,11599.4,8644.04,2046.06,4116.72,4013.48,5871.91,5449.78,2445.14,2.7224
26696.5,15063.5,9579.5,6409,4341.5,3565.5,3021,13990,15892.8,15306.2,13704.3,13179.2,11553.2,8729.74,2038.21,4115.38,4016.43,5876.41,5454.2,2436.3,2.7225
26696.5,15063.5,9579.5,6409,4341.5,3565.5,3021,13990,15892.8,15306.2,13704.3,13179.2,11553.2,8729.74,2043.11,4112.44,4014.95,5882.06,5453.21,2442.69,2.7225
26696.5,15063.5,9579.5,6409,4341.5,3565.5,3021,13990,15892.8,15306.2,13704.3,13179.2,11553.2,8729.74,2040.17,4109.81,4011.52,5876.25,5450.76,2445.63,2.7225
26696.5,15063.5,9579.5,6409,4341.5,3565.5,3021,13990,15892.8,15306.2,13704.3,13179.2,11553.2,8729.74,2041.15,4109.27,4011.03,5875.73,5453.21,2437.29,2.7225
26698.1,15065.1,9581.5,6413.4,4343.9,3565.1,3016.6,13990,15892.8,15306.2,13704.3,13179.2,11553.2,8729.74,2043.11,4112.82,4007.1,5875.1,5451.74,2428.94,2.7225
26698.5,15065.5,9582,6414.5,4344.5,3565,3015.5,13990,15877.4,15207.3,13689,13249.5,11531.3,8791.26,2044.59,4114.66,4011.52,5873.44,5459.1,2425.01,2.72193
26698.5,15065.5,9582,6414.5,4344.5,3565,3015.5,13990,15877.4,15207.3,13689,13249.5,11531.3,8791.26,2041.15,4111.7,4007.59,5871.58,5457.63,2418.14,2.72193
26698.5,15065.5,9582,6414.5,4344.5,3565,3015.5,13990,15877.4,15207.3,13689,13249.5,11531.3,8791.26,2041.15,4107.22,4008.57,5872.96,5453.21,2425.51,2.72193
26698.5,15065.5,9582,6414.5,4344.5,3565,3015.5,13990,15877.4,15207.3,13689,13249.5,11531.3,8791.26,2041.64,4102.91,4003.17,5873.06,5449.29,2423.05,2.72193
26699.3,15062.7,9587.2,6413.3,4341.7,3562.2,3009.9,13990,15877.4,15207.3,13689,13249.5,11531.3,8791.26,2048.51,4102.51,4004.65,5870.4,5454.69,2415.69,2.72193
26699.5,15062,9588.5,6413,4341,3561.5,3008.5,14029.5,15892.8,15158.9,13678,13157.2,11546.6,8833.01,2050.97,4097.65,4001.7,5873.64,5449.29,2404.89,2.72281
26699.5,15062,9588.5,6413,4341,3561.5,3008.5,14029.5,15892.8,15158.9,13678,13157.2,11546.6,8833.01,2051.95,4090,4005.14,5868.48,5442.42,2399.98,2.72281
26699.5,15062,9588.5,6413,4341,3561.5,3008.5,14029.5,15892.8,15158.9,13678,13157.2,11546.6,8833.01,2043.61,4079.45,4005.63,5873.05,5442.91,2413.72,2.72281
26699.5,15062,9588.5,6413,4341,3561.5,3008.5,14029.5,15892.8,15158.9,13678,13157.2,11546.6,8833.01,2046.55,4072.8,4009.55,5879.16,5447.32,2433.36,2.72281
26698.3,15062.4,9591.7,6411,4341.4,3561.1,3004.5,14029.5,15892.8,15158.9,13678,13157.2,11546.6,8833.01,2045.08,4074.31,4012.01,5876.47,5444.38,2421.58,2.72281
26698,15062.5,9592.5,6410.5,4341.5,3561,3003.5,14020.8,15928,15178.7,13678,13146.2,11509.3,8879.15,2046.06,4074.08,4011.52,5864.45,5438.49,2413.72,2.72426
26698,15062.5,9592.5,6410.5,4341.5,3561,3003.5,14020.8,15928,15178.7,13678,13146.2,11509.3,8879.15,2041.15,4069.89,4007.59,5860.17,5427.2,2425.01,2.72426
26698,15062.5,9592.5,6410.5,4341.5,3561,3003.5,14020.8,15928,15178.7,13678,13146.2,11509.3,8879.15,2043.61,4065.57,4008.08,5860.37,5427.2,2442.19,2.72426
26698,15062.5,9592.5,6410.5,4341.5,3561,3003.5,14020.8,15928,15178.7,13678,13146.2,11509.3,8879.15,2042.13,4060.77,4009.55,5853.51,5431.13,2432.38,2.72426
26698.4,15060.9,9589.3,6412.9,4340.3,3563,2997.9,14020.8,15928,15178.7,13678,13146.2,11509.3,8879.15,2043.11,4059.45,4010.54,5844.28,5427.2,2429.43,2.72426
26698.5,15060.5,9588.5,6413.5,4340,3563.5,2996.5,14009.8,15958.7,15183.1,13695.6,13284.7,11559.8,8868.16,2046.55,4058.18,4005.14,5834.27,5425.23,2428.45,2.72358
